revision,gcid1,gcid2,classId,similarity,classSize,sim_bucket,class_bucket,sameFile,depth,dep_label
13,141,151,30,75,4,71-80,3-5,0,1,0
13,65,123,45,100,21,96-100,21+,0,1,0
13,66,123,45,100,21,96-100,21+,0,1,0
13,67,123,45,100,21,96-100,21+,0,1,0
13,68,123,45,100,21,96-100,21+,1,1,0
13,69,123,45,100,21,96-100,21+,0,1,0
13,71,123,45,100,21,96-100,21+,0,1,0
13,72,123,45,100,21,96-100,21+,0,1,0
13,73,123,45,100,21,96-100,21+,0,1,0
13,106,123,45,70,21,<=70,21+,0,1,0
13,107,123,45,70,21,<=70,21+,0,1,0
13,120,123,45,72,21,71-80,21+,1,0,0
13,123,124,45,74,21,71-80,21+,1,1,0
13,70,132,48,100,12,96-100,11-20,0,1,0
13,70,147,48,100,12,96-100,11-20,0,1,0
13,132,133,48,80,12,71-80,11-20,1,1,0
13,132,147,48,80,12,71-80,11-20,1,0,1
13,132,148,48,80,12,71-80,11-20,1,1,0
13,132,160,48,80,12,71-80,11-20,1,0,0
13,133,147,48,80,12,71-80,11-20,1,1,0
13,147,148,48,75,12,71-80,11-20,1,1,0
13,147,160,48,75,12,71-80,11-20,1,0,0
13,134,136,49,100,10,96-100,6-10,1,0,0
13,135,136,49,100,10,96-100,6-10,1,1,0
13,136,137,49,75,10,71-80,6-10,0,1,0
13,136,140,49,75,10,71-80,6-10,0,1,0
13,136,150,49,75,10,71-80,6-10,1,1,0
13,136,152,49,75,10,71-80,6-10,1,1,0
13,136,188,49,75,10,71-80,6-10,0,1,0
13,136,196,49,75,10,71-80,6-10,0,1,0
13,136,198,49,75,10,71-80,6-10,0,1,0
13,139,145,50,75,4,71-80,3-5,1,0,1
13,139,146,50,75,4,71-80,3-5,1,0,0
13,145,146,50,80,4,71-80,3-5,1,0,0
13,138,142,51,83,15,81-90,11-20,0,1,0
13,138,158,51,83,15,81-90,11-20,1,0,1
13,138,159,51,83,15,81-90,11-20,1,1,0
13,138,180,51,83,15,81-90,11-20,0,1,0
13,142,158,51,83,15,81-90,11-20,0,1,0
13,158,159,51,85,15,81-90,11-20,1,1,0
13,158,180,51,85,15,81-90,11-20,0,1,0
13,162,163,53,100,7,96-100,6-10,1,1,0
20,168,169,56,75,9,71-80,6-10,1,0,1
20,168,170,56,75,9,71-80,6-10,0,1,0
20,168,236,56,75,9,71-80,6-10,0,1,0
28,166,167,62,100,17,96-100,11-20,0,1,0
30,168,169,56,75,9,71-80,6-10,1,0,1
30,168,170,56,75,9,71-80,6-10,0,1,0
30,168,236,56,75,9,71-80,6-10,0,1,0
30,169,170,56,75,9,71-80,6-10,0,1,0
30,169,236,56,75,9,71-80,6-10,0,1,0
32,53,112,40,100,9,96-100,6-10,0,1,0
32,54,112,40,100,9,96-100,6-10,0,1,0
32,55,112,40,100,9,96-100,6-10,0,1,0
32,112,113,40,95,9,91-95,6-10,1,1,0
32,103,104,44,71,12,71-80,11-20,0,1,1
32,103,105,44,71,12,71-80,11-20,0,1,1
32,103,118,44,71,12,71-80,11-20,0,1,0
32,103,119,44,71,12,71-80,11-20,0,1,0
32,104,105,44,71,12,71-80,11-20,0,1,1
32,104,118,44,71,12,71-80,11-20,0,1,0
32,104,119,44,71,12,71-80,11-20,0,1,0
32,105,118,44,71,12,71-80,11-20,0,1,0
32,105,119,44,71,12,71-80,11-20,0,1,0
32,65,106,45,100,21,96-100,21+,0,1,0
32,65,107,45,100,21,96-100,21+,0,1,0
32,66,106,45,100,21,96-100,21+,0,1,0
32,66,107,45,100,21,96-100,21+,0,1,0
32,67,106,45,100,21,96-100,21+,0,1,0
32,67,107,45,100,21,96-100,21+,0,1,0
